word,ipa_yoruba,ipa_swahili,agreement,primary_candidate_ipa,alternate_candidate_ipa,approved_ipa,review_status,reviewer_notes,source
maya,m a j a,m a j a,yes,m a j a,,m a j a,auto-accepted,,transphone_yoruba_swahili
thirikari,s i r i k a r i,t i r i k a r i,no,s i r i k a r i,t i r i k a r i,,needs-analyst-review,,transphone_yoruba_swahili
haria,h a r i a,h a r i a,yes,h a r i a,,h a r i a,auto-accepted,,transphone_yoruba_swahili
kilomita,k i l o m i t a,k i l ɔ m i t a,no,k i l o m i t a,k i l ɔ m i t a,,needs-analyst-review,,transphone_yoruba_swahili
mírogo,m i r o ɡ o,m i r ɔ ɡ ɔ,no,m i r o ɡ o,m i r ɔ ɡ ɔ,,needs-analyst-review,,transphone_yoruba_swahili
ngoikoni,m o i k o n i,ŋ ɔ i k ɔ n i,no,m o i k o n i,ŋ ɔ i k ɔ n i,,needs-analyst-review,,transphone_yoruba_swahili
uhuru,u h u r u,u h u r u,yes,u h u r u,,u h u r u,auto-accepted,,transphone_yoruba_swahili
ĩno,e n o,a n ɔ,no,e n o,a n ɔ,,needs-analyst-review,,transphone_yoruba_swahili
hamwe,h a m w e,h a m w a,no,h a m w e,h a m w a,,needs-analyst-review,,transphone_yoruba_swahili
mathako,m a s a k o,m a t a k ɔ,no,m a s a k o,m a t a k ɔ,,needs-analyst-review,,transphone_yoruba_swahili
tene,t e n e,t a n a,no,t e n e,t a n a,,needs-analyst-review,,transphone_yoruba_swahili
ùria,u r i a,u r i a,yes,u r i a,,u r i a,auto-accepted,,transphone_yoruba_swahili
búruri,b u r u r i,b u r u r i,yes,b u r u r i,,b u r u r i,auto-accepted,,transphone_yoruba_swahili
iri,i r i,i r i,yes,i r i,,i r i,auto-accepted,,transphone_yoruba_swahili
mwana,m w a n a,m w a n a,yes,m w a n a,,m w a n a,auto-accepted,,transphone_yoruba_swahili
niguo,n i ɡ u o,n i ɡ u ɔ,no,n i ɡ u o,n i ɡ u ɔ,,needs-analyst-review,,transphone_yoruba_swahili
ríría,r i r i a,r i r i a,yes,r i r i a,,r i r i a,auto-accepted,,transphone_yoruba_swahili
mûno,m u n o,m u n ɔ,no,m u n o,m u n ɔ,,needs-analyst-review,,transphone_yoruba_swahili
wothe,w o s e,w ɔ t a,no,w o s e,w ɔ t a,,needs-analyst-review,,transphone_yoruba_swahili
ati,a t i,a t i,yes,a t i,,a t i,auto-accepted,,transphone_yoruba_swahili
igūrū,i ɡ u r u,i ɡ u r u,yes,i ɡ u r u,,i ɡ u r u,auto-accepted,,transphone_yoruba_swahili
uyu,u j u,u j u,yes,u j u,,u j u,auto-accepted,,transphone_yoruba_swahili
bara,b a r a,b a r a,yes,b a r a,,b a r a,auto-accepted,,transphone_yoruba_swahili
keda,k e d a,k a d a,no,k e d a,k a d a,,needs-analyst-review,,transphone_yoruba_swahili
nja,d a,d a,yes,d a,,d a,auto-accepted,,transphone_yoruba_swahili
nyoka,m o k a,ɲ ɔ k a,no,m o k a,ɲ ɔ k a,,needs-analyst-review,,transphone_yoruba_swahili
yothe,j o s e,j ɔ t a,no,j o s e,j ɔ t a,,needs-analyst-review,,transphone_yoruba_swahili
ciothe,t i o s e,t i ɔ t a,no,t i o s e,t i ɔ t a,,needs-analyst-review,,transphone_yoruba_swahili
mbica,b i t a,m b i t a,no,b i t a,m b i t a,,needs-analyst-review,,transphone_yoruba_swahili
mirogo,m i r o ɡ o,m i r ɔ ɡ ɔ,no,m i r o ɡ o,m i r ɔ ɡ ɔ,,needs-analyst-review,,transphone_yoruba_swahili
andū,ẽ d u,a n d u,no,ẽ d u,a n d u,,needs-analyst-review,,transphone_yoruba_swahili
riria,r i r i a,r i r i a,yes,r i r i a,,r i r i a,auto-accepted,,transphone_yoruba_swahili
írí,i r i,i r i,yes,i r i,,i r i,auto-accepted,,transphone_yoruba_swahili
ūyū,u j u,u j u,yes,u j u,,u j u,auto-accepted,,transphone_yoruba_swahili
andũ,ã d o,a d ɔ,no,ã d o,a d ɔ,,needs-analyst-review,,transphone_yoruba_swahili
ithatú,i s a t u,i t a t u,no,i s a t u,i t a t u,,needs-analyst-review,,transphone_yoruba_swahili
giri,ɡ i r i,ɡ i r i,yes,ɡ i r i,,ɡ i r i,auto-accepted,,transphone_yoruba_swahili
mena,m e n a,m a n a,no,m e n a,m a n a,,needs-analyst-review,,transphone_yoruba_swahili
naguo,n a ɡ u o,n a ɡ u ɔ,no,n a ɡ u o,n a ɡ u ɔ,,needs-analyst-review,,transphone_yoruba_swahili
igìrì,i ɡ i r i,i ɡ i r i,yes,i ɡ i r i,,i ɡ i r i,auto-accepted,,transphone_yoruba_swahili
nayo,n a j o,n a j ɔ,no,n a j o,n a j ɔ,,needs-analyst-review,,transphone_yoruba_swahili
ngumo,m u m o,ŋ u m ɔ,no,m u m o,ŋ u m ɔ,,needs-analyst-review,,transphone_yoruba_swahili
haha,h a h a,h a h a,yes,h a h a,,h a h a,auto-accepted,,transphone_yoruba_swahili
igũrũ,i ɡ o r o,i ɡ ɔ r ɔ,no,i ɡ o r o,i ɡ ɔ r ɔ,,needs-analyst-review,,transphone_yoruba_swahili
kuri,k u r i,k u r i,yes,k u r i,,k u r i,auto-accepted,,transphone_yoruba_swahili
riua,r i w a,r i w a,yes,r i w a,,r i w a,auto-accepted,,transphone_yoruba_swahili
yellow,j e l o w,j a l ɔ w,no,j e l o w,j a l ɔ w,,needs-analyst-review,,transphone_yoruba_swahili
ĩrĩa,e r e a,a r a,no,e r e a,a r a,,needs-analyst-review,,transphone_yoruba_swahili
bũrũri,b o r o r i,b ɔ r ɔ r i,no,b o r o r i,b ɔ r ɔ r i,,needs-analyst-review,,transphone_yoruba_swahili
gìa,ɡ i a,ɡ i a,yes,ɡ i a,,ɡ i a,auto-accepted,,transphone_yoruba_swahili
mundu,m ũ d u,m u n d u,no,m ũ d u,m u n d u,,needs-analyst-review,,transphone_yoruba_swahili
muthenya,m u s ẽ j a,m u t a ɲ a,no,m u s ẽ j a,m u t a ɲ a,,needs-analyst-review,,transphone_yoruba_swahili
ngari,ɡ a r i,ɡ a r i,yes,ɡ a r i,,ɡ a r i,auto-accepted,,transphone_yoruba_swahili
riera,r i e r a,r i a r a,no,r i e r a,r i a r a,,needs-analyst-review,,transphone_yoruba_swahili
thìiniì,s i ĩ i,t i n i,no,s i ĩ i,t i n i,,needs-analyst-review,,transphone_yoruba_swahili
andû,ã d u,a d u,no,ã d u,a d u,,needs-analyst-review,,transphone_yoruba_swahili
ikûmi,i k u m i,i k u m i,yes,i k u m i,,i k u m i,auto-accepted,,transphone_yoruba_swahili
ikūmi,i k u m i,i k u m i,yes,i k u m i,,i k u m i,auto-accepted,,transphone_yoruba_swahili
nyeki,m e k i,ɲ a k i,no,m e k i,ɲ a k i,,needs-analyst-review,,transphone_yoruba_swahili
oro,o r o,ɔ r ɔ,no,o r o,ɔ r ɔ,,needs-analyst-review,,transphone_yoruba_swahili
president,p r e s i d ẽ t,p r a s i d a n t,no,p r e s i d ẽ t,p r a s i d a n t,,needs-analyst-review,,transphone_yoruba_swahili
yake,j a k e,j a k a,no,j a k e,j a k a,,needs-analyst-review,,transphone_yoruba_swahili
ìna,ĩ n a,i n a,no,ĩ n a,i n a,,needs-analyst-review,,transphone_yoruba_swahili
day,d a j,d a j,yes,d a j,,d a j,auto-accepted,,transphone_yoruba_swahili
gía,ɡ i a,ɡ i a,yes,ɡ i a,,ɡ i a,auto-accepted,,transphone_yoruba_swahili
kuona,k u o n a,k u ɔ n a,no,k u o n a,k u ɔ n a,,needs-analyst-review,,transphone_yoruba_swahili
maria,m a r i a,m a r i a,yes,m a r i a,,m a r i a,auto-accepted,,transphone_yoruba_swahili
mbwe,b w e,m b w a,no,b w e,m b w a,,needs-analyst-review,,transphone_yoruba_swahili
níguo,n i ɡ u o,n i ɡ u ɔ,no,n i ɡ u o,n i ɡ u ɔ,,needs-analyst-review,,transphone_yoruba_swahili
riūa,r i w a,r i u a,no,r i w a,r i u a,,needs-analyst-review,,transphone_yoruba_swahili
shape,ʃ a p e,ʃ a p a,no,ʃ a p e,ʃ a p a,,needs-analyst-review,,transphone_yoruba_swahili
ìrìa,i r i a,i r i a,yes,i r i a,,i r i a,auto-accepted,,transphone_yoruba_swahili
igakorwo,i ɡ a k o r w o,i ɡ a k ɔ r w ɔ,no,i ɡ a k o r w o,i ɡ a k ɔ r w ɔ,,needs-analyst-review,,transphone_yoruba_swahili
kwína,k w ĩ n a,k i n a,no,k w ĩ n a,k i n a,,needs-analyst-review,,transphone_yoruba_swahili
miaka,m i j a k a,m i a k a,no,m i j a k a,m i a k a,,needs-analyst-review,,transphone_yoruba_swahili
njìra,d i r a,d i r a,yes,d i r a,,d i r a,auto-accepted,,transphone_yoruba_swahili
thĩiniĩ,s e i n i e,t a i n i a,no,s e i n i e,t a i n i a,,needs-analyst-review,,transphone_yoruba_swahili
ìyo,i j o,i j ɔ,no,i j o,i j ɔ,,needs-analyst-review,,transphone_yoruba_swahili
ūndū,ũ d u,u n d u,no,ũ d u,u n d u,,needs-analyst-review,,transphone_yoruba_swahili
bata,b a t a,b a t a,yes,b a t a,,b a t a,auto-accepted,,transphone_yoruba_swahili
gìkì,ɡ i k i,ɡ i k i,yes,ɡ i k i,,ɡ i k i,auto-accepted,,transphone_yoruba_swahili
harĩ,h a r e,h a r a,no,h a r e,h a r a,,needs-analyst-review,,transphone_yoruba_swahili
ikoragwo,i k o r a ɡ w o,i k ɔ r a w ɔ,no,i k o r a ɡ w o,i k ɔ r a w ɔ,,needs-analyst-review,,transphone_yoruba_swahili
kanini,k a n ĩ n i,k a n i n i,no,k a n ĩ n i,k a n i n i,,needs-analyst-review,,transphone_yoruba_swahili
kiromita,k i r o m i t a,k i r ɔ m i t a,no,k i r o m i t a,k i r ɔ m i t a,,needs-analyst-review,,transphone_yoruba_swahili
mwega,m w e ɡ a,m w a ɡ a,no,m w e ɡ a,m w a ɡ a,,needs-analyst-review,,transphone_yoruba_swahili
national,n a t i o n a l,n a t i ɔ n a l,no,n a t i o n a l,n a t i ɔ n a l,,needs-analyst-review,,transphone_yoruba_swahili
waku,w a k u,w a k u,yes,w a k u,,w a k u,auto-accepted,,transphone_yoruba_swahili
guku,ɡ u k u,ɡ u k u,yes,ɡ u k u,,ɡ u k u,auto-accepted,,transphone_yoruba_swahili
harì,h a r i,h a r i,yes,h a r i,,h a r i,auto-accepted,,transphone_yoruba_swahili
hìndì,h ĩ d i,h i n d i,no,h ĩ d i,h i n d i,,needs-analyst-review,,transphone_yoruba_swahili
moi,m o i,m ɔ i,no,m o i,m ɔ i,,needs-analyst-review,,transphone_yoruba_swahili
nuthu,n u s u,n u t u,no,n u s u,n u t u,,needs-analyst-review,,transphone_yoruba_swahili
twa,t w a,t w a,yes,t w a,,t w a,auto-accepted,,transphone_yoruba_swahili
úrugari,u r u ɡ a r i,u r u ɡ a r i,yes,u r u ɡ a r i,,u r u ɡ a r i,auto-accepted,,transphone_yoruba_swahili
gatagati,ɡ a t a ɡ a t i,ɡ a t a ɡ a t i,yes,ɡ a t a ɡ a t i,,ɡ a t a ɡ a t i,auto-accepted,,transphone_yoruba_swahili
harî,h a r i,h a r i,yes,h a r i,,h a r i,auto-accepted,,transphone_yoruba_swahili
ikũmi,i k o m i,i k ɔ m i,no,i k o m i,i k ɔ m i,,needs-analyst-review,,transphone_yoruba_swahili
ithatu,i s a t u,i t a t u,no,i s a t u,i t a t u,,needs-analyst-review,,transphone_yoruba_swahili
mari,m a r i,m a r i,yes,m a r i,,m a r i,auto-accepted,,transphone_yoruba_swahili
mùno,m u n o,m u n ɔ,no,m u n o,m u n ɔ,,needs-analyst-review,,transphone_yoruba_swahili
mûthenya,m u s ẽ j a,m u t a ɲ a,no,m u s ẽ j a,m u t a ɲ a,,needs-analyst-review,,transphone_yoruba_swahili
ímwe,ĩ w e,i m w a,no,ĩ w e,i m w a,,needs-analyst-review,,transphone_yoruba_swahili
mírongo,m i r õ ɡ o,m i r ɔ ŋ ɡ ɔ,no,m i r õ ɡ o,m i r ɔ ŋ ɡ ɔ,,needs-analyst-review,,transphone_yoruba_swahili
îmwe,ĩ w e,i m w a,no,ĩ w e,i m w a,,needs-analyst-review,,transphone_yoruba_swahili
harí,h a r i,h a r i,yes,h a r i,,h a r i,auto-accepted,,transphone_yoruba_swahili
mūthenya,m u s ẽ j a,m u t a ɲ a,no,m u s ẽ j a,m u t a ɲ a,,needs-analyst-review,,transphone_yoruba_swahili
niwe,n i w e,n i w a,no,n i w e,n i w a,,needs-analyst-review,,transphone_yoruba_swahili
riúa,r i u a,r i u a,yes,r i u a,,r i u a,auto-accepted,,transphone_yoruba_swahili
rìrì,r i r i,r i r i,yes,r i r i,,r i r i,auto-accepted,,transphone_yoruba_swahili
rîa,r i a,r i a,yes,r i a,,r i a,auto-accepted,,transphone_yoruba_swahili
tariki,t a r i k i,t a r i k i,yes,t a r i k i,,t a r i k i,auto-accepted,,transphone_yoruba_swahili
igîrî,i ɡ i r i,i ɡ i r i,yes,i ɡ i r i,,i ɡ i r i,auto-accepted,,transphone_yoruba_swahili
mbeca,b e t a,m b a t a,no,b e t a,m b a t a,,needs-analyst-review,,transphone_yoruba_swahili
ngoga,ɡ o ɡ a,ɡ ɔ ɡ a,no,ɡ o ɡ a,ɡ ɔ ɡ a,,needs-analyst-review,,transphone_yoruba_swahili
niundu,n i ũ d u,n i u d u,no,n i ũ d u,n i u d u,,needs-analyst-review,,transphone_yoruba_swahili
íria,i r i a,i r i a,yes,i r i a,,i r i a,auto-accepted,,transphone_yoruba_swahili
aría,a r i a,a r i a,yes,a r i a,,a r i a,auto-accepted,,transphone_yoruba_swahili
kûrî,k u r i,k u r i,yes,k u r i,,k u r i,auto-accepted,,transphone_yoruba_swahili
pele,p e l e,p a l a,no,p e l e,p a l a,,needs-analyst-review,,transphone_yoruba_swahili
rungu,r ũ ɡ u,r u n ɡ u,no,r ũ ɡ u,r u n ɡ u,,needs-analyst-review,,transphone_yoruba_swahili
ruto,r u t o,r u t ɔ,no,r u t o,r u t ɔ,,needs-analyst-review,,transphone_yoruba_swahili
thika,s i k a,t i k a,no,s i k a,t i k a,,needs-analyst-review,,transphone_yoruba_swahili
watho,w a s o,w a t ɔ,no,w a s o,w a t ɔ,,needs-analyst-review,,transphone_yoruba_swahili
úría,u r i a,u r i a,yes,u r i a,,u r i a,auto-accepted,,transphone_yoruba_swahili
ūcio,u t i o,u t i ɔ,no,u t i o,u t i ɔ,,needs-analyst-review,,transphone_yoruba_swahili
aingi,a ĩ ɡ i,a i ɡ i,no,a ĩ ɡ i,a i ɡ i,,needs-analyst-review,,transphone_yoruba_swahili
celsius,t e l s i u s,t a l s i u s,no,t e l s i u s,t a l s i u s,,needs-analyst-review,,transphone_yoruba_swahili
ikúmi,i k u m i,i k u m i,yes,i k u m i,,i k u m i,auto-accepted,,transphone_yoruba_swahili
ithatū,i s a t u,i t a t u,no,i s a t u,i t a t u,,needs-analyst-review,,transphone_yoruba_swahili
nakuru,n a k u r u,n a k u r u,yes,n a k u r u,,n a k u r u,auto-accepted,,transphone_yoruba_swahili
nyingi,m ĩ ɡ i,ɲ i ɡ i,no,m ĩ ɡ i,ɲ i ɡ i,,needs-analyst-review,,transphone_yoruba_swahili
nìguo,n i ɡ u o,n i ɡ u ɔ,no,n i ɡ u o,n i ɡ u ɔ,,needs-analyst-review,,transphone_yoruba_swahili
triangle,t r i ẽ ɡ l e,t r i a n ɡ l a,no,t r i ẽ ɡ l e,t r i a n ɡ l a,,needs-analyst-review,,transphone_yoruba_swahili
kona,k o n a,k ɔ n a,no,k o n a,k ɔ n a,,needs-analyst-review,,transphone_yoruba_swahili
nigwo,n i ɡ w o,n i ɡ w ɔ,no,n i ɡ w o,n i ɡ w ɔ,,needs-analyst-review,,transphone_yoruba_swahili
îna,ĩ n a,i n a,no,ĩ n a,i n a,,needs-analyst-review,,transphone_yoruba_swahili
úcio,u t i o,u t i ɔ,no,u t i o,u t i ɔ,,needs-analyst-review,,transphone_yoruba_swahili
ĩmwe,ĩ w e,a m w a,no,ĩ w e,a m w a,,needs-analyst-review,,transphone_yoruba_swahili
